run_id,configuration,model,seed,window,target_month,forecast_origin,training_start,training_end,actual_log_rv,previous_log_rv,predicted_log_rv,status,warnings,seconds,error,mse_log_rv,mae_log_rv,mse_rv,mae_rv,qlike_variance,directional_accuracy
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,2,571,2026-04-30,2026-03-31,1978-09-30,2026-03-31,-3.237312027686596,-2.9305511753093016,-3.23308266108468,ok,[],1.4946998340310529,,1.788754185340227e-05,0.004229366601915974,2.770094603592969e-08,0.0001664360118361699,3.567442602640976e-05,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,2,571,2026-05-31,2026-04-30,1978-10-31,2026-04-30,-3.5119546359486353,-3.237312027686596,-3.3789721417005016,ok,[],1.483522499911487,,0.01768434377645491,0.1329824942481337,1.8010982221754444e-05,0.004243934757009637,0.03243095065341792,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,2,571,2026-06-30,2026-05-31,1978-11-30,2026-05-31,-3.0168147582707263,-3.5119546359486353,-3.2509756158341654,ok,[],1.4893257080111653,,0.0548313072148452,0.23416085756343907,0.00010445887202853248,0.010220512317322086,0.12898948408280386,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,2,571,2026-07-31,2026-06-30,1978-12-31,2026-06-30,-3.371829178429884,-3.0168147582707263,-3.226103041577445,ok,[],1.4895697920583189,,0.02123610696193577,0.14572613685243896,2.899998500783985e-05,0.0053851634151472,0.03862994647902096,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,2,571,2026-08-31,2026-07-31,1979-01-31,2026-07-31,-3.507788998946598,-3.371829178429884,-3.3512432201227584,ok,[],1.403283999999985,,0.0245065808675625,0.15654577882383958,2.5782772759577056e-05,0.0050776739516807355,0.04427452175956914,0.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,3,571,2025-09-30,2025-08-31,1978-02-28,2025-08-31,-3.844352655797379,-3.3885720022366694,-3.4347357075394447,ok,[],1.3102930840104818,,0.1677860443001431,0.40961694825793415,0.00011736857649937002,0.010833677884235345,0.2600030965277914,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,3,571,2025-10-31,2025-09-30,1978-03-31,2025-09-30,-3.200601249147139,-3.844352655797379,-3.606858207384736,ok,[],1.3073036250425503,,0.16504471611646446,0.4062569582375968,0.00018497989169858424,0.013600731292786584,0.44105223221719925,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,3,571,2025-11-30,2025-10-31,1978-04-30,2025-10-31,-3.1877347547552812,-3.200601249147139,-3.4175999301630475,ok,[],1.3118617079453543,,0.052837998865243166,0.2298651754077663,7.181206016500079e-05,0.008474199676960698,0.12391654750513381,0.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,3,571,2025-12-31,2025-11-30,1978-05-31,2025-11-30,-3.669080341092571,-3.1877347547552812,-3.2413438835008925,ok,[],1.3100649579428136,,0.18295847715307792,0.42773645759167866,0.0001852698928142745,0.013611388349991139,0.2805550309368775,1.0
6896fea73c283c52ec3df2db2143d92e1dad9531a594c684d1d0adfc23fe05fa,colin,LSTMX,3,571,2026-01-31,2025-12-31,1978-06-30,2025-12-31,-3.5432987087435324,-3.669080341092571,-3.284666549111999,ok,[],1.3067841249285266,,0.06689059399567092,0.2586321596315333,7.285123554905487e-05,0.008535293524481444,0.11341351235487268,1.0
